code,description,parent_code
00,ALGEMEEN,
00.00,ALGEMEEN,00
00.01,ALGEMENE OMSCHRIJVING,00
00.02,ALGEMENE PROJECTGEGEVENS,00
00.03,MODEL OVEREENKOMSTEN,00
01,VOOR HET WERK GELDENDE VOORWAARDEN,
01.00,ALGEMEEN,01
01.01,VAN TOEPASSING ZIJNDE VOORWAARDEN EN VOORSCHRIFTEN,01
01.02,AANVULLINGEN EN AFWIJKINGEN OP EN INVULLINGEN VAN DE UAV 2012,01
01.03,VERZEKERINGEN,01
01.04,VERREKENING WIJZIGING KOSTEN EN PRIJZEN,01
01.05,TEKENINGEN EN BEREKENINGEN,01
01.06,ARBEIDSOMSTANDIGHEDEN,01
02,VOOR HET WERK GELDENDE VOORWAARDEN UAV-GC 2005,
02.00,ALGEMEEN,02
02.02,ANNEXEN,02
05,BOUWPLAATSVOORZIENINGEN,
05.00,ALGEMEEN,05
05.11,FUNCTIONELE OMSCHRIJVINGEN,05
05.12,WERKBESCHEIDEN,05
05.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",05
05.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",05
05.15,INSTRUCTIE/OPLEIDING,05
05.16,INREGELING EN INBEDRIJFSTELLING,05
05.17,REVISIEBESCHEIDEN,05
05.18,GARANTIES,05
05.31,LOODSEN EN KETEN,05
05.32,BESCHIKBAARSTELLING MATERIEEL,05
05.33,BESCHIKBAARSTELLING PERSONEEL,05
05.34,SCHOONMAKEN EN PREVENTIEF ONDERHOUD,05
05.41,INRICHTING WERKTERREIN,05
05.42,AFSLUITINGEN EN RECLAME,05
05.43,TIJDELIJKE TERREINVERHARDINGEN,05
05.50,MAATVOERING,05
05.51,OPMETEN,05
05.52,UITZETTEN,05
05.61,TIJDELIJKE DRAINAGE,05
05.62,TIJDELIJKE BEMALING,05
05.71,TIJDELIJKE DAMWANDEN,05
05.72,TIJDELIJKE PAALFUNDERINGEN,05
